Code,Status,encoded_code
1769VB 71M,TRUE,7
7409VB 9M,TRUE,87
5647VB 32M,TRUE,72
3088VB 36M,TRUE,37
2252VB 80M,TRUE,15
2303VB 99M,TRUE,16
2317VB 21M,TRUE,17
7939VB 17M,TRUE,93
3870VB 18M,TRUE,49
7052VB 21M,TRUE,84
5432VB 82M,TRUE,69
1457VB 7M,TRUE,3
4521VB 83M,TRUE,59
W92C11719000,TRUE,324
W92C11809000 ,TRUE,325
W92C22563000 ,TRUE,326
W92C22763000 ,TRUE,327
W92C34309000 ,TRUE,328
W92C34423000,TRUE,329
W92C34433000 ,TRUE,330
W92C34445000,TRUE,331
W92C34451000 ,TRUE,332
V92834451000,TRUE,303
V92027171669,TRUE,120
V92887203022,TRUE,315
V92582098242,TRUE,258
V92009713524,TRUE,117
V92053331411,TRUE,125
V92169118111,TRUE,149
V92135875734,TRUE,140
V92666142440,TRUE,276
V92860587432,TRUE,305
V92784121272,TRUE,296
V92695782307,TRUE,281
V92549661762,TRUE,252
V92151075697,TRUE,144
V92203970540,TRUE,160
V92524905097,TRUE,248
V92123301267,TRUE,137
V92896868834,TRUE,322
V92390876868,TRUE,213
V92268046399,TRUE,183
V92250813568,TRUE,175
V92777719362,TRUE,295
V92505110730,TRUE,241
V92886354891,TRUE,314
V92007873868,TRUE,116
V92493894176,TRUE,238
V92753350929,TRUE,290
V92805661999,TRUE,299
V92221734931,TRUE,166
V92522433367,TRUE,246
V92355277628,TRUE,206
V92700741034,TRUE,283
V92277220131,TRUE,187
V92250833448,TRUE,176
V92478160274,TRUE,234
V92630923575,TRUE,272
V92261706135,TRUE,178
V92636722809,TRUE,273
V92422319707,TRUE,222
V92224604583,TRUE,167
V92349740825,TRUE,203
V92232662272,TRUE,170
V92345288373,TRUE,200
V92189078921,TRUE,154
V92746422566,TRUE,288
V92087186434,TRUE,133
V92316906739,TRUE,193
V92324066467,TRUE,194
V92510303860,TRUE,243
V92217236221,TRUE,165
V92424441702,TRUE,223
V92352237543,TRUE,204
V92209251071,TRUE,163
V92043743748,TRUE,122
V92700325937,TRUE,282
V92494640325,TRUE,239
V92246182144,TRUE,174
V92741340193,TRUE,287
V92867846461,TRUE,308
V92593462375,TRUE,261
V92180803192,TRUE,152
V92516858503,TRUE,245
V92092752805,TRUE,134
V92749971050,TRUE,289
V92601182112,TRUE,263
V92324799312,TRUE,195
V92209667857,TRUE,164
V92050563169,TRUE,124
V92206988296,TRUE,162
V92411090051,TRUE,217
V92817460951,TRUE,300
V92862286698,TRUE,306
V92855548580,TRUE,304
V92872269633,TRUE,310
V92484486640,TRUE,236
V92447570741,TRUE,228
V92867702391,TRUE,307
V92683678422,TRUE,280
V92592677316,TRUE,260
V92332555026,TRUE,198
V92339855961,TRUE,199
V92427226052,TRUE,224
V92626555308,TRUE,268
V92346842333,TRUE,202
V92435393753,TRUE,226
V92623394337,TRUE,267
V92411066001,TRUE,216
V92065190392,TRUE,127
V92103586088,TRUE,136
V92354438940,TRUE,205
V92158708340,TRUE,147
V92267692039,TRUE,182
V92243416199,TRUE,172
V92414322340,TRUE,218
V92820674203,TRUE,301
V92189618800,TRUE,155
V92240221968,TRUE,171
V92152667518,TRUE,145
V92129238310,TRUE,138
V92206635973,TRUE,161
V92326943438,TRUE,196
V92771325830,TRUE,292
V92373336527-BS70,TRUE,210
V92148900406-BS89,TRUE,143
V92415826805-BS86,TRUE,219
V92577685536-BS96,TRUE,256
V92277747859-BS24,TRUE,188
V92805539004-BS27,TRUE,298
V92075094212-BS57,TRUE,130
V92420638787-BS42,TRUE,221
V92473507627-BS5,TRUE,232
V92579994286-BS53,TRUE,257
V92709407066-BS28,TRUE,285
V92877434881-BS17,TRUE,312
V92369097810-BS57,TRUE,208
V92281056090-BS4,TRUE,190
V92875166102-BS4,TRUE,311
V92184518332-BS59,TRUE,153
V92099600962-BS43,TRUE,135
V92202650898-BS20,TRUE,159
V92523679831-BS75,TRUE,247
V92681952158-BS50,TRUE,279
V92627439095-BS63,TRUE,271
V92156862961-BS19,TRUE,146
V92399174892-BS44,TRUE,214
V92525614020-BS38,TRUE,249
V92363341818-BS5,TRUE,207
V92266502237-BS73,TRUE,180
V92145127869-BS81,TRUE,142
V92267070568-BS43,TRUE,181
V92265472309-BS79,TRUE,179
V92069651656-BS83,TRUE,129
V92448300259-BS56,TRUE,229
V92085431458-BS26,TRUE,132
V92656943449-BS42,TRUE,275
V92252475212-BS48,TRUE,177
V92191913299-BS99,TRUE,156
V92232578252-BS28,TRUE,169
V92676444224-BS8,TRUE,278
V92484463504-BS88,TRUE,235
V92068371211-BS63,TRUE,128
V92773453402-BS13,TRUE,293
V92044458326-BS67,TRUE,123
V92477942019-BS83,TRUE,233
V92627437755-BS39,TRUE,270
V92591476569-BS76,TRUE,259
V92224680567-BS96,TRUE,168
V92193748112-BS97,TRUE,157
V92595548509-BS52,TRUE,262
V92545724367-BS74,TRUE,251
V92346391069-BS89,TRUE,201
V92243679094-BS87,TRUE,173
V92139918426-BS10,TRUE,141
V92615581586-BS42,TRUE,266
V92451295426-BS58,TRUE,231
V92429676531-BS5,TRUE,225
V92033096146-BS24,TRUE,121
V92053990190-BS16,TRUE,126
V92270139097-BS17,TRUE,185
V92278159723-BS6,TRUE,189
V92650511481-BS12,TRUE,274
V92381605984-BS30,TRUE,212
V92533024733-BS63,TRUE,250
V92882672595-BS13,TRUE,313
V92723922907-BS66,TRUE,286
V92310425377-BS78,TRUE,192
V92018659722-BS41,TRUE,118
V92269686720-BS70,TRUE,184
V92442926785-BS72,TRUE,227
V92627344567-BS91,TRUE,269
V92566723819-BS32,TRUE,254
V92175277349-BS87,TRUE,151
V92496286693-BS28,TRUE,240
V92492069076-BS74,TRUE,237
V92005240057-BS89,TRUE,115
V92868198620-BS78,TRUE,309
V92416187145-BS26,TRUE,220
V92163489688-BS38,TRUE,148
V92328806287-BS91,TRUE,197
V92558654749-BS11,TRUE,253
V92605998137-BS14,TRUE,264
V92515812723-BS95,TRUE,244
V92198702488-BS72,TRUE,158
V92405848239-BS78,TRUE,215
V92448528214-BS74,TRUE,230
V92369158969-BS14,TRUE,209
V92020534756-BS79,TRUE,119
V92374843106-BS14,TRUE,211
V92570906858-BS9,TRUE,255
V92707905302-BS60,TRUE,284
V92777050250-BS41,TRUE,294
V92084658371-BS28,TRUE,131
V92823762396-BS6,TRUE,302
V92133238809-BS66,TRUE,139
V92508456566-BS65,TRUE,242
V92895436968-BS96,TRUE,319
V92613431522-BS55,TRUE,265
V92760965068-BS88,TRUE,291
V92669083737-BS16,TRUE,277
V92174189941-BS53,TRUE,150
V92272135192-BS56,TRUE,186
V92310174643-BS29,TRUE,191
V92803769133-BS12,TRUE,297
2801V0 11M,TRUE,24
2801VO 11M,TRUE,26
2812VX 12M,FALSE,28
2813VX 13M,FALSE,31
2812VX 13M,FALSE,29
2812VX 14K,FALSE,30
2814VY 12M,FALSE,32
2812VX 12J,FALSE,27
2817VX 12M,FALSE,33
2847VX 12M,FALSE,34
V92895437068-BS99,FALSE,321
V94095437068-BS99,FALSE,323
V82895437068-BS99,FALSE,114
V62895437068-BS99,FALSE,112
V72895437068-BS99,FALSE,113
V52895437068-BS99,FALSE,111
V92895437068-BS90,FALSE,320
V92894437068-BS99,FALSE,316
V92895436068-BS99,FALSE,318
V92895435099-BS99,FALSE,317
